;smartphonename;price;ram;rom;displaysize;provider;os;cpubrand;camrearpixel;camrearcount;camfrontpixel;camfrontcount;numcpu1;numcpu2;clockcpu1;clockcpu2;displayWidth;displayHeight;brandnew;isPortable
239;11;4.89;3;32;5.7;1;0;5.0;13;1.0;8;1.0;4.0;4.0;2.3;1.65;720.0;1440.0;1.0;1.0
240;16;4.799;3;32;5.99;1;0;3.0;12;2.0;13;1.0;4.0;4.0;1.8;1.6;1080.0;2160.0;1.0;1.0
241;0;4.79;1;16;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;0.99;0.0
242;16;4.79;4;64;5.99;1;0;3.0;12;1.0;5;1.0;8.0;0.0;2.0;0.0;1080.0;2160.0;1.0;1.0
243;11;4.79;3;32;6.0;1;0;5.0;13;1.0;16;1.0;4.0;4.0;2.3;1.65;1080.0;2160.0;1.0;1.0
244;11;4.69;3;16;5.2;1;0;3.0;13;1.0;5;1.0;8.0;0.0;1.8;0.0;720.0;1280.0;1.0;1.0
245;0;4.69;1;64;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;0.9;0.0
246;0;4.69;2;16;4.0;1;1;1.0;12;1.0;2;1.0;2.0;0.0;1.84;0.0;640.0;1136.0;0.99;0.0
247;1;4.49;3;32;5.7;1;0;5.0;16;2.0;8;1.0;4.0;4.0;1.5;1.0;1080.0;2160.0;1.0;1.0
248;0;4.49;1;16;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;0.95;0.0
249;1;4.49;3;32;5.5;1;0;3.0;16;1.0;8;1.0;4.0;4.0;1.4;1.1;1080.0;1920.0;1.0;1.0
250;10;4.49;3;32;5.5;1;0;3.0;16;1.0;8;1.0;4.0;4.0;1.4;1.1;1080.0;1920.0;1.0;1.0
251;1;4.49;4;64;5.5;1;0;3.0;16;1.0;20;2.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
252;13;4.39;3;32;5.5;1;0;0.0;13;1.0;8;1.0;8.0;0.0;1.6;0.0;1080.0;1920.0;1.0;1.0
253;5;4.29;3;32;5.5;1;0;3.0;12;1.0;8;1.0;4.0;4.0;1.4;1.1;720.0;1280.0;1.0;1.0
254;3;4.29;3;32;5.65;1;0;2.0;13;2.0;13;2.0;4.0;4.0;2.36;1.7;1080.0;2160.0;1.0;1.0
255;10;4.259;2;16;5.2;1;0;3.0;13;1.0;8;1.0;4.0;4.0;1.4;1.1;720.0;1280.0;1.0;1.0
256;11;4.09;3;32;5.7;1;0;5.0;13;1.0;8;1.0;4.0;4.0;2.5;1.6;720.0;1440.0;1.0;1.0
257;11;4.09;3;32;5.2;1;0;3.0;13;1.0;16;1.0;4.0;4.0;1.4;1.1;720.0;1280.0;1.0;1.0
258;15;3.99;2;16;5.2;1;0;3.0;13;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
259;5;3.99;3;32;5.99;1;0;3.0;13;2.0;8;1.0;8.0;0.0;1.4;0.0;720.0;1440.0;1.0;1.0
260;15;3.99;2;16;5.2;1;0;3.0;13;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
261;1;3.99;3;32;5.5;1;0;3.0;16;2.0;16;1.0;4.0;4.0;1.4;1.1;720.0;1280.0;1.0;1.0
262;0;3.99;2;16;4.0;1;1;1.0;12;1.0;2;1.0;2.0;0.0;1.84;0.0;640.0;1136.0;0.95;0.0
263;16;3.99;3;32;5.99;1;0;3.0;12;2.0;16;1.0;8.0;0.0;2.0;0.0;720.0;1440.0;1.0;1.0
264;0;4.09;2;64;4.7;1;1;1.0;12;1.0;2;1.0;2.0;0.0;1.84;0.0;640.0;1136.0;0.95;0.0
265;16;3.99;3;32;5.99;1;0;3.0;12;1.0;5;1.0;8.0;0.0;2.0;0.0;1080.0;2160.0;1.0;1.0
267;13;3.79;2;16;5.5;1;0;0.0;13;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
268;10;3.69;2;16;5.2;1;0;3.0;13;1.0;8;1.0;4.0;4.0;1.4;1.1;720.0;1280.0;1.0;1.0
269;16;3.69;3;32;5.5;1;0;3.0;13;1.0;16;1.0;8.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
270;11;3.69;2;16;5.2;1;0;3.0;13;1.0;5;1.0;8.0;0.0;1.8;0.0;720.0;1280.0;1.0;1.0
271;14;3.59;2;16;5.5;1;0;5.0;13;1.0;5;1.0;4.0;0.0;1.45;0.0;720.0;1280.0;1.0;1.0
273;5;3.499;3;32;5.5;1;0;3.0;12;1.0;8;1.0;4.0;4.0;1.4;1.1;720.0;1280.0;1.0;1.0
275;1;3.49;3;32;5.2;1;0;3.0;13;2.0;8;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
276;16;3.39;3;32;5.99;1;0;3.0;12;1.0;5;1.0;8.0;0.0;2.0;0.0;1080.0;2160.0;1.0;1.0
277;15;3.39;2;16;5.0;1;0;3.0;8;1.0;5;1.0;4.0;0.0;1.4;0.0;540.0;960.0;1.0;1.0
278;11;3.29;2;16;5.2;1;0;3.0;13;1.0;5;1.0;8.0;0.0;1.8;0.0;720.0;1280.0;1.0;1.0
279;5;3.29;2;16;5.7;1;0;3.0;13;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1440.0;1.0;1.0
280;13;3.29;1.5;16;5.0;1;0;3.0;8;1.0;5;1.0;1.0;0.0;1.4;0.0;540.0;960.0;1.0;1.0
281;0;3.29;1;32;4.0;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.3;0.0;640.0;1136.0;0.99;0.0
282;0;3.29;1;64;4.0;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.3;0.0;640.0;1136.0;0.9;0.0
284;16;3.19;3;32;5.7;1;0;3.0;12;1.0;5;1.0;8.0;0.0;1.8;0.0;720.0;1440.0;1.0;1.0
285;10;2.99;2;16;5.0;1;0;5.0;8;1.0;8;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
286;5;2.79;2;16;5.0;1;0;5.0;8;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
287;16;2.79;3;32;5.7;1;0;3.0;12;1.0;5;1.0;8.0;0.0;1.8;0.0;720.0;1440.0;1.0;1.0
288;16;2.76;2;16;5.7;1;0;3.0;12;1.0;5;1.0;8.0;0.0;1.8;0.0;720.0;1440.0;1.0;1.0
289;9;2.59;2;16;5.0;1;0;5.0;8;1.0;2;1.0;4.0;0.0;1.3;0.0;720.0;1280.0;1.0;1.0
290;5;2.2;2;16;5.0;1;0;5.0;8;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
291;10;2.19;1;8;5.0;1;0;3.0;8;1.0;5;1.0;4.0;0.0;1.3;0.0;720.0;1280.0;1.0;1.0
292;10;2.39;2;16;5.0;1;0;5.0;8;1.0;8;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
293;16;1.99;2;16;5.0;1;0;3.0;13;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
294;10;1.989;1;8;5.0;1;0;3.0;8;1.0;5;1.0;4.0;0.0;1.3;0.0;720.0;1280.0;1.0;1.0
295;16;1.79;2;16;5.0;1;0;3.0;13;1.0;5;1.0;4.0;0.0;1.4;0.0;720.0;1280.0;1.0;1.0
297;10;1.59;1;8;4.5;1;0;5.0;5;1.0;2;1.0;4.0;0.0;1.1;0.0;480.0;854.0;1.0;1.0
